State,1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014
Alabama,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,R,R
Alaska,S,S,S,S,S,S,S,S,R,R,R,R,R,R,R,S,S,S,R
Arizona,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R
Arkansas,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,R
California,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Colorado,R,R,R,R,R,R,R,R,R,R,R,S,R,D,D,D,D,S,D
Connecticut,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Delaware,D,D,D,D,S,S,S,S,S,S,S,S,S,S,S,D,D,D,D
Florida,D,D,D,D,D,D,D,S,S,R,R,R,R,R,R,R,R,R,R
Georgia,D,D,D,D,D,D,D,D,D,D,D,D,S,R,R,R,R,R,R
Hawaii,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Idaho,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R
Illinois,D,S,D,D,D,D,D,S,S,S,S,S,D,D,D,D,D,D,D
Indiana,R,R,R,R,R,S,S,S,S,S,S,S,S,R,S,S,S,R,R
Iowa,R,R,D,D,D,D,D,D,S,R,R,R,R,S,D,D,D,S,S
Kansas,R,R,R,R,R,R,S,S,R,R,R,R,R,R,R,R,R,R,R
Kentucky,D,D,D,D,D,D,D,D,D,D,D,S,S,S,S,S,S,S,S
Louisiana,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,R,R
Maine,S,S,D,D,D,D,D,D,D,D,D,S,D,D,D,D,D,R,D
Maryland,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Massachusetts,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Michigan,D,D,D,S,S,S,S,S,S,S,R,R,R,R,S,S,S,R,R
Minnesota,S,S,D,S,S,D,D,D,D,D,S,S,S,S,D,D,D,R,D
Mississippi,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,R,R
Missouri,D,D,D,D,D,D,D,D,D,D,D,S,R,R,R,R,R,R,R
Montana,D,R,S,S,S,S,S,S,R,R,R,R,R,S,S,S,S,R,R
Nebraska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,D,D,D,S,S,S,S,S,S,S,S,S,S,S,S,D,D,D,D
New Hampshire,S,R,R,R,R,R,R,R,R,R,S,R,R,R,D,D,D,R,S
New Jersey,D,D,D,S,S,D,D,R,R,R,R,R,S,D,D,D,D,D,D
New Mexico,D,D,D,S,S,D,D,D,D,D,D,D,D,D,D,D,D,D,D
New York,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,D,D,S,*D
North Carolina,D,D,D,D,D,D,D,D,D,D,D,D,S,D,D,D,D,R,R
North Dakota,R,R,S,R,S,S,S,S,R,R,R,R,R,R,R,R,R,R,R
Ohio,D,S,D,S,S,S,S,S,R,R,R,R,R,R,R,S,S,R,R
Oklahoma,D,D,D,D,D,D,D,D,D,D,D,D,D,S,S,R,R,R,R
Oregon,D,D,D,D,D,D,D,S,R,R,R,R,S,S,D,D,D,S,D
Pennsylvania,S,R,S,S,S,S,S,S,R,R,R,R,R,R,R,S,S,R,R
Rhode Island,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
South Carolina,D,D,D,D,D,D,D,D,S,S,S,S,R,R,R,R,R,R,R
South Dakota,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R
Tennessee,D,D,D,D,D,D,D,D,D,D,D,D,D,S,S,R,R,R,R
Texas,D,D,D,D,D,D,D,D,D,S,S,R,R,R,R,R,R,R,R
Utah,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Vermont,R,R,R,S,S,S,S,S,S,S,D,S,S,D,D,D,D,D,D
Virginia,D,D,D,D,D,D,D,D,D,S,S,R,R,R,R,S,S,S,S
Washington,S,R,D,D,D,S,S,D,S,S,S,S,S,D,D,D,D,D,*D
West Virginia,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Wisconsin,D,D,D,D,D,D,D,D,S,S,S,S,R,R,S,D,D,R,R
Wyoming,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
